date_id,date,day,day_of_week,is_weekend,month,year
108,2007-02-14,14,2,False,2,2007
352,2007-02-14,14,2,False,2,2007
774,2007-02-14,14,2,False,2,2007
820,2007-02-14,14,2,False,2,2007
954,2007-02-14,14,2,False,2,2007
1184,2007-02-14,14,2,False,2,2007
1196,2007-02-14,14,2,False,2,2007
1368,2007-02-14,14,2,False,2,2007
1534,2007-02-14,14,2,False,2,2007
1710,2007-02-14,14,2,False,2,2007
1996,2007-02-14,14,2,False,2,2007
18,2007-02-15,15,3,False,2,2007
20,2007-02-15,15,3,False,2,2007
36,2007-02-15,15,3,False,2,2007
46,2007-02-15,15,3,False,2,2007
54,2007-02-15,15,3,False,2,2007
58,2007-02-15,15,3,False,2,2007
60,2007-02-15,15,3,False,2,2007
86,2007-02-15,15,3,False,2,2007
90,2007-02-15,15,3,False,2,2007
100,2007-02-15,15,3,False,2,2007
114,2007-02-15,15,3,False,2,2007
116,2007-02-15,15,3,False,2,2007
126,2007-02-15,15,3,False,2,2007
132,2007-02-15,15,3,False,2,2007
146,2007-02-15,15,3,False,2,2007
188,2007-02-15,15,3,False,2,2007
194,2007-02-15,15,3,False,2,2007
202,2007-02-15,15,3,False,2,2007
212,2007-02-15,15,3,False,2,2007
222,2007-02-15,15,3,False,2,2007
228,2007-02-15,15,3,False,2,2007
230,2007-02-15,15,3,False,2,2007
238,2007-02-15,15,3,False,2,2007
244,2007-02-15,15,3,False,2,2007
250,2007-02-15,15,3,False,2,2007
254,2007-02-15,15,3,False,2,2007
272,2007-02-15,15,3,False,2,2007
274,2007-02-15,15,3,False,2,2007
292,2007-02-15,15,3,False,2,2007
330,2007-02-15,15,3,False,2,2007
340,2007-02-15,15,3,False,2,2007
362,2007-02-15,15,3,False,2,2007
368,2007-02-15,15,3,False,2,2007
374,2007-02-15,15,3,False,2,2007
382,2007-02-15,15,3,False,2,2007
388,2007-02-15,15,3,False,2,2007
408,2007-02-15,15,3,False,2,2007
418,2007-02-15,15,3,False,2,2007
426,2007-02-15,15,3,False,2,2007
456,2007-02-15,15,3,False,2,2007
474,2007-02-15,15,3,False,2,2007
480,2007-02-15,15,3,False,2,2007
484,2007-02-15,15,3,False,2,2007
486,2007-02-15,15,3,False,2,2007
508,2007-02-15,15,3,False,2,2007
510,2007-02-15,15,3,False,2,2007
558,2007-02-15,15,3,False,2,2007
576,2007-02-15,15,3,False,2,2007
608,2007-02-15,15,3,False,2,2007
612,2007-02-15,15,3,False,2,2007
630,2007-02-15,15,3,False,2,2007
650,2007-02-15,15,3,False,2,2007
666,2007-02-15,15,3,False,2,2007
672,2007-02-15,15,3,False,2,2007
